path	loc	title	first_para	last_mod_date	last_mod_author	in_mkdocs_nav
docs/admin/api-key-acls.md	201	API key ACLs + usage (Phase 120)	Phase 120 adds three operational levers on top of the Phase-118 token format and Phase-119 lifecycle: **per-key catalog allowlists**, **per-key IP allowlists**, and a **30-day usage dashboard**.	2026-05-23	Florian Hofstetter	true
docs/admin/api-key-format.md	151	API key token format (Phase 118)	pql_{env}_v1_{body40}_{crc8} ```	2026-05-23	Florian Hofstetter	true
docs/admin/api-key-lifecycle.md	172	API key lifecycle (Phase 119)	Phase 119 adds **TTL**, **rotation**, and **soft-quarantine** to the API-key store. Every existing key keeps unchanged behaviour (all lifecycle columns default to ``NULL`` = "no constraint"); admin...	2026-05-23	Florian Hofstetter	true
docs/admin/oidc-group-map.md	105	OIDC group → workspace + scope mapping	Phase 29.3 lets an OIDC IdP's group claim drive both **which workspace a user lands in** and **which auditor / supervisor / admin scopes they hold**, without minting a parallel API key. Empty / uns...	2026-05-05	Florian Hofstetter	true
docs/admin/performance.md	80	Performance baseline	The Sprint 30.5 baseline measures **where SQLite WAL stops serving the cockpit's p95 budget and where Postgres takes over**. Numbers below are the headline; the underlying playbook lives at [`scrip...	2026-05-05	Florian Hofstetter	true
docs/admin/postgres-deployment.md	260	Postgres deployment	Postgres has been a *technically supported* metadata backend for PointlesSQL since Phase 4 / Sprint 10 (env switch `POINTLESSQL_DB_URL=postgresql+psycopg://...`). Sprint 30 closed the operational g...	2026-05-22	Florian Hofstetter	true
docs/admin/workspace-management.md	155	Workspace management	The workspace admin runbook. Every action below requires **tenant-wide admin** (`users.is_admin = True`) — workspace-local admins (`workspace_members.role = 'admin'`) get the membership-management...	2026-05-05	Florian Hofstetter	true
docs/changelog.md	87	What's new	The full per-sprint changelog lives in [`CHANGELOG.md`](https://github.com/FloHofstetter/PointlesSQL/blob/main/CHANGELOG.md) in the repo root (~7800 LOC; Phase 0 through current).	2026-04-30	Florian Hofstetter	true
docs/concepts/agent-memory.md	131	Agent memory — Delta-first persistent memory for AI agents	PointlesSQL frames its existing audit + branching infrastructure as **the agent's persistent memory**: a Delta-backed append-only log of every operation the agent ran, plus a branch-tree that isola...	2026-05-19	Florian Hofstetter	true
docs/concepts/agent-supervision.md	262	Agent supervision	PointlesSQL is **not** a hands-off platform. It is built around the assumption that an autonomous agent will occasionally do the wrong thing, and the *system* should catch it — not the human that h...	2026-05-19	Florian Hofstetter	true
